Line,Rep,Score,Parental Temp,Experimental Temp
392,2,103,25,25
392,3,100,25,25
392,4,190,25,25
392,5,100,25,25
392,6,87,25,25
392,7,98,25,25
392,8,103,25,25
392,9,102,25,25
392,10,93,25,25
395,1,122,25,25
395,2,119,25,25
395,3,171,25,25
395,4,113,25,25
395,5,143,25,25
395,6,70,25,25
395,7,177,25,25
395,8,161,25,25
395,9,153,25,25
395,10,161,25,25
397,1,59,25,25
397,2,83,25,25
397,3,79,25,25
397,4,64,25,25
397,5,123,25,25
397,6,68,25,25
397,7,71,25,25
397,8,78,25,25
397,9,91,25,25
397,10,38,25,25
399,1,100,25,25
399,2,119,25,25
399,3,118,25,25
399,4,111,25,25
399,5,107,25,25
399,6,113,25,25
399,7,165,25,25
399,8,148,25,25
399,9,123,25,25
399,10,146,25,25
405,1,126,25,25
405,2,138,25,25
405,3,122,25,25
405,4,102,25,25
405,5,94,25,25
405,6,119,25,25
405,7,115,25,25
405,8,135,25,25
405,9,114,25,25
405,10,113,25,25
406,1,76,25,25
406,2,97,25,25
406,3,92,25,25
406,4,95,25,25
406,5,109,25,25
406,6,93,25,25
406,7,63,25,25
406,8,83,25,25
406,9,79,25,25
406,10,88,25,25
409,1,61,25,25
409,2,130,25,25
409,3,82,25,25
409,4,75,25,25
409,5,83,25,25
409,6,104,25,25
409,7,85,25,25
409,8,82,25,25
409,9,88,25,25
409,10,64,25,25
426,1,120,25,25
426,2,110,25,25
426,3,93,25,25
426,4,61,25,25
426,5,97,25,25
426,6,97,25,25
426,7,93,25,25
426,8,101,25,25
426,9,96,25,25
426,10,65,25,25
427,1,93,25,25
427,2,88,25,25
427,3,100,25,25
427,4,86,25,25
427,5,118,25,25
427,6,87,25,25
427,7,102,25,25
427,8,103,25,25
427,9,95,25,25
427,10,92,25,25
437,1,102,25,25
437,2,115,25,25
437,3,129,25,25
437,4,114,25,25
437,5,117,25,25
437,6,74,25,25
437,7,116,25,25
437,8,96,25,25
437,9,128,25,25
437,10,132,25,25
439,1,40,25,25
439,2,79,25,25
439,3,76,25,25
439,4,103,25,25
439,5,19,25,25
439,6,61,25,25
439,7,78,25,25
439,8,32,25,25
439,9,101,25,25
439,10,118,25,25
440,1,104,25,25
440,2,103,25,25
440,3,144,25,25
440,4,97,25,25
440,5,108,25,25
440,6,36,25,25
440,7,98,25,25
440,8,123,25,25
440,9,123,25,25
440,10,76,25,25
441,1,70,25,25
441,2,120,25,25
441,3,49,25,25
441,4,43,25,25
441,5,75,25,25
441,6,56,25,25
441,7,67,25,25
441,8,85,25,25
441,9,43,25,25
441,10,77,25,25
443,1,56,25,25
443,2,50,25,25
443,3,57,25,25
443,4,54,25,25
443,5,79,25,25
